3.359,1.232,1.498,2.246,0.18,2.208
3.658,1.907,0.887,2.724,0.202,2.178
2.868,1.26,0.747,2.578,0.139,1.495
4.006,1.92,1.378,2.771,0.244,2.224
2.928,1.171,0.823,2.396,0.137,2.211
3.759,1.206,1.47,2.737,0.176,3.229
3.803,2.03,0.495,3.806,0.166,1.291
3.159,1.423,1.225,2.055,0.184,1.751
4.589,1.959,2.167,2.954,0.302,2.089
3.017,1.216,1.171,2.009,0.162,2.028
3.73,1.214,1.177,2.922,0.142,3.403
3.57,1.343,1.307,2.672,0.171,2.4
3.375,1.337,1.399,2.01,0.189,2.674
3.073,1.72,0.741,2.545,0.18,0.827
5.157,2.168,1.776,3.854,0.285,3.329
3.503,1.487,1.649,1.899,0.227,2.28
4.01,1.319,1.543,2.829,0.18,3.503
3.787,0.754,0.909,3.536,0.063,4.727
3.916,1.96,0.626,4.102,0.161,0.83
3.47,0.869,0.417,3.968,0.039,3.447
3.331,1.54,0.759,3.014,0.152,1.497
4.521,1.208,1.027,3.822,0.113,5.711
5.218,1.781,2.132,3.544,0.25,4.249
3.171,1.457,0.438,2.832,0.126,2.633
3.513,1.519,0.64,3.477,0.129,1.75
4.583,1.644,1.414,3.11,0.205,4.847
3.918,1.607,1.442,2.301,0.221,3.543
4.071,1.237,1.318,3.063,0.152,4.194
4.123,1.43,0.642,4.338,0.103,3.068
2.513,1.075,-0.047,3.152,0.044,1.473
3.882,1.539,0.765,3.353,0.142,3.501
3.48,1.087,1.546,2.645,0.18,2.511
4.073,1.389,1.377,2.915,0.176,3.835
4.431,1.157,1.685,3.755,0.176,3.928
4.042,1.791,1.237,3.206,0.209,2.251
3.678,1.686,1.116,2.991,0.186,1.576
3.701,1.256,1.637,2.599,0.202,2.691
2.504,1.249,0.93,1.186,0.167,2.18
4.273,1.449,1.429,3.496,0.172,3.188
3.405,0.644,0.654,3.717,0.042,3.838
3.0,1.119,1.18,1.879,0.154,2.548
2.876,1.135,0.905,1.807,0.142,2.974
2.673,0.694,0.594,2.87,0.051,2.217
3.638,1.201,1.66,2.611,0.198,2.523
3.307,0.945,0.969,2.933,0.098,3.002
3.876,1.593,1.278,3.036,0.191,2.337
3.02,0.801,0.652,2.892,0.066,3.16
4.633,1.355,1.737,4.033,0.184,3.385
2.693,0.834,0.657,2.118,0.087,3.265
3.696,1.393,1.548,2.439,0.204,2.651
3.55,1.476,1.3,2.455,0.189,2.299
3.715,1.639,0.888,3.444,0.17,1.831
2.299,1.001,0.713,1.366,0.123,2.36
3.998,1.195,1.339,3.039,0.148,3.998
3.814,1.158,0.979,3.514,0.114,3.342
5.331,1.849,2.206,3.767,0.285,4.22
3.493,1.763,0.976,3.023,0.187,0.841
4.701,1.859,0.968,4.156,0.176,3.858
3.198,0.844,0.804,2.758,0.082,3.653
3.043,1.287,1.24,1.912,0.186,2.051
3.54,1.137,1.238,2.763,0.155,3.225
3.198,0.845,1.132,2.672,0.118,3.048
4.459,1.671,1.449,3.287,0.202,3.611
5.681,2.073,1.874,3.897,0.273,5.654
3.997,1.658,1.434,2.433,0.216,3.647
5.296,2.034,2.334,3.619,0.317,3.337
4.411,1.761,1.578,3.23,0.237,3.036
3.578,1.409,1.099,2.912,0.159,2.312
2.627,1.191,0.618,1.873,0.128,2.538
3.756,1.491,1.109,3.132,0.168,2.399
3.501,1.288,1.338,2.42,0.176,2.746
3.479,1.398,0.723,3.523,0.128,1.874
2.348,0.874,0.858,1.654,0.112,1.791
3.436,0.98,1.043,2.761,0.114,3.614
4.766,2.373,0.849,3.743,0.238,3.897
4.069,1.712,2.002,2.28,0.274,2.281
4.433,1.813,1.394,3.174,0.222,3.524
4.119,1.585,1.805,2.497,0.229,3.031
5.657,2.209,2.266,4.235,0.298,3.156
2.655,1.475,0.862,1.924,0.178,0.741
3.198,1.387,0.738,2.928,0.133,1.855
4.292,1.865,1.651,2.587,0.249,3.162
3.844,0.766,1.102,3.598,0.087,4.356
4.381,1.303,0.562,5.249,0.073,3.094
3.387,1.561,0.999,2.761,0.172,1.495
4.392,1.748,1.245,3.559,0.19,3.093
3.714,0.842,0.948,3.521,0.084,4.131
3.534,1.637,1.672,1.675,0.246,2.266
2.597,0.967,0.658,1.814,0.11,3.058
1.503,0.539,0.473,1.042,0.071,1.56
2.002,0.982,0.656,1.552,0.115,0.652
4.422,1.271,1.273,4.21,0.142,3.555
3.605,1.321,0.936,2.493,0.144,4.208
3.107,1.28,0.613,3.181,0.111,1.434
4.643,1.804,1.374,3.397,0.217,4.378
3.019,1.525,0.745,2.476,0.159,1.356
4.085,0.849,1.002,3.778,0.075,5.03
5.008,2.539,0.859,4.117,0.236,3.562
3.023,1.476,1.468,1.554,0.219,1.272
2.254,1.22,0.288,2.058,0.105,1.174
3.094,1.41,0.78,2.39,0.156,2.285
5.222,1.826,1.241,4.776,0.18,4.298
3.843,1.677,0.723,3.575,0.15,2.399
3.84,1.579,1.275,2.913,0.194,2.602
3.837,0.92,0.924,3.317,0.085,4.768
3.306,1.383,0.93,2.607,0.16,2.354
2.334,0.658,0.698,1.877,0.074,2.537
3.849,1.397,1.073,2.662,0.159,4.315
4.061,1.629,1.671,2.749,0.23,2.464
4.069,1.504,1.541,2.941,0.202,2.932
3.83,1.507,0.647,3.526,0.129,3.306
4.062,1.464,1.278,2.811,0.179,4.198
4.574,1.416,0.734,5.25,0.096,3.143
2.805,1.279,0.742,2.041,0.143,2.186
3.231,1.626,1.356,1.418,0.228,2.453
3.105,1.327,1.283,1.924,0.188,2.095
3.959,1.849,0.349,3.987,0.138,2.7
4.175,1.759,1.747,2.25,0.25,3.283
3.478,1.356,0.994,2.531,0.155,3.238
4.572,1.716,1.313,3.795,0.186,3.331
3.474,1.458,1.26,1.991,0.199,3.182
4.361,1.077,1.079,4.278,0.099,4.297
3.79,1.863,2.081,1.584,0.304,1.712
3.294,1.538,1.857,1.544,0.264,1.37
3.985,1.488,1.544,2.484,0.203,3.45
2.912,1.455,0.894,2.105,0.171,1.428
6.262,2.324,1.807,5.814,0.241,3.429
5.167,1.684,1.067,5.155,0.138,4.043
4.237,1.172,1.033,4.017,0.12,4.152
